x111,y111,x121,y121,x211,y211,x221,y221,x311,y311,x321,y321,,x112,y112,x122,y122,x212,y212,x222,y222,x312,y312,x322,y322,,x113,y113,x123,y123,x213,y213,x223,y223,x313,y313,x323,y323,,x114,y114,x124,y124,x214,y214,x224,y224,x314,y314,x324,y324
"-0,4737834","2,246531","-0,321371","2,181956","-0,5562742","2,306769","-0,3455903","2,029883","-0,7731667","2,209116","-3,14E-01","1,92E+00",,"-0,5029514","1,818037","-0,3083537","2,019358","-0,2066124","2,026158","-0,3152811","2,021808","-1,56112","2,636558","-0,2224048","1,981592",,"-1,047295","2,289565","-0,2740381","1,983972","-0,9368722","1,743158","-0,2583668","2,009269","-0,3751513","1,868022","-3,14E-01","1,92E+00",,"-0,5619499","2,028229","-0,2158603","1,890727","-1,118361","2,031971","-0,2911688","2,006997","-0,55816","2,033966","-0,2415859","1,921148"
"-1,580295","2,32219","-0,305746","2,100706","-1,644167","2,351565","-0,3180429","1,970197","-1,132428","2,227384","-3,14E-01","1,99E+00",,"-1,365871","1,846237","-0,2883722","1,963046","-1,134566","2,162761","-0,3015866","1,953336","-2,000546","2,607648","-0,2061337","1,908372",,"-2,111302","2,306277","-0,2532048","1,910254","-1,227387","1,751298","-0,2487128","1,943406","-1,25695","1,987915","-3,14E-01","1,99E+00",,"-1,549687","2,060298","-0,2109152","1,828088","-2,051051","2,047713","-0,2731661","1,96019","-1,543275","2,098352","-0,2231698","1,853089"
"-1,99169","2,326918","-0,283871","2,031956","-2,002532","2,364364","-0,2886591","1,904083","-2,191946","2,233473","-3,12E-01","2,02E+00",,"-1,664791","1,851877","-0,2665742","1,895836","-1,469006","2,167471","-0,2764801","1,887146","-3,214751","2,532483","-0,1796932","1,847356",,"-2,47897","2,295136","-0,2403843","1,854164","-2,022562","1,737988","-0,2269923","1,881674","-1,585691","1,976313","-3,12E-01","2,02E+00",,"-1,863968","2,060298","-0,1911347","1,780285","-2,346206","2,035907","-0,2479623","1,891779","-1,865207","2,066159","-0,2007503","1,799442"
"-3,112388","2,265446","-0,261996","1,956956","-3,077626","2,364364","-0,2813131","1,860008","-2,520761","2,233473","-2,77E-01","2,04E+00",,"-2,52771","1,857517","-0,2465927","1,843157","-2,467616","2,143919","-0,2605032","1,820956","-3,625267","2,509356","-0,1695238","1,782272",,"-3,498411","2,272853","-0,2211536","1,804485","-2,284393","1,722455","-0,2052717","1,832516","-2,521636","1,976313","-2,77E-01","2,04E+00",,"-2,832463","2,015401","-0,179596","1,729186","-3,251349","1,996553","-0,2407612","1,834171","-2,863199","2,027527","-0,1831349","1,748998"
"-3,471768","2,246531","-0,249496","1,900706","-3,43599","2,345166","-0,258357","1,813177","-3,543744","2,203027","-2,56E-01","1,97E+00",,"-2,77587","1,840597","-0,2266113","1,799561","-2,792636","2,115656","-0,2490911","1,77759","-4,851036","2,399499","-0,1573205","1,725323",,"-3,843796","2,244999","-0,2082493","1,753068","-3,055622","1,680688","-0,1961262","1,782216","-2,831039","1,94924","-2,56E-01","1,97E+00",,"-3,185227","2,015401","-0,1680574","1,687976","-3,534697","1,988682","-0,226359","1,790964","-3,178693","2,021088","-0,1703238","1,70576"
"-4,597194","2,170872","-0,233871","1,856956","-4,479088","2,319568","-0,2445833","1,767265","-3,878649","2,203027","-2,23E-01","1,90E+00",,"-3,627509","1,823677","-0,2157123","1,757782","-3,777114","2,068552","-0,2267728","1,724979","-5,244207","2,347462","-0,1410494","1,672442",,"-4,879949","2,183722","-0,1884623","1,712594","-3,326954","1,660348","-0,1789783","1,734202","-3,759248","1,902829","-2,23E-01","1,90E+00",,"-4,139142","1,946978","-0,1598155","1,65336","-4,424098","1,929651","-0,2127445","1,750536","-4,125176","1,937386","-0,1551105","1,65932"
"-4,956574","2,133042","-0,221371","1,803831","-4,833037","2,287105","-0,2298914","1,72778","-4,865096","2,154314","-2,09E-01","1,85E+00",,"-3,898229","1,801117","-0,2066298","1,719635","-4,106844","2,030869","-0,2165035","1,682761","-6,435283","2,214477","-0,1342386","1,636688",,"-5,225334","2,161439","-0,1767699","1,681115","-4,093354","1,604317","-0,1641169","1,698763","-4,057049","1,868022","-2,09E-01","1,85E+00",,"-4,453901","1,918515","-0,1505095","1,613602","-4,723189","1,898168","-0,1949249","1,708533","-4,447109","1,911631","-0,1431","1,617684"
"-6,072543","2,024283","-0,211996","1,756956","-5,868037","2,200855","-0,2170359","1,690132","-5,20609","2,11169","-1,88E-01","1,79E+00",,"-4,727308","1,755997","-0,1957308","1,685122","-5,081902","1,950792","-0,2096572","1,645107","-6,8458","2,168222","-0,1278969","1,587766",,"-6,233634","2,055595","-0,1677758","1,64244","-4,350332","1,56976","-0,1549714","1,663325","-4,958186","1,802273","-1,88E-01","1,79E+00",,"-5,401815","1,81731","-0,1452762","1,574353","-5,592912","1,807653","-0,1860151","1,669075","-5,40003","1,808613","-0,136961","1,582292"
"-6,431923","1,976996","-0,199496","1,722581","-6,214263","2,170363","-0,2092812","1,658994","-6,198627","2,020352","-1,77E-01","1,76E+00",,"-5,009308","1,722157","-0,1866483","1,646975","-5,406921","1,903687","-0,20167","1,604029","-8,031095","1,988982","-0,1233671","1,554245",,"-6,573447","2,022171","-0,1515864","1,606464","-5,10705","1,480443","-0,1458259","1,623313","-5,255986","1,751995","-1,77E-01","1,76E+00",,"-6,645918","1,645915","-0,1374263","1,541645","-5,892003","1,791912","-0,1783781","1,635982","-5,709086","1,769981","-0,1268734","1,550516"
"-7,547892","1,820949","-0,199496","1,685081","-7,2482","2,05596","-0,2028245","1,62519","-6,503086","1,977728","-1,63E-01","1,71E+00",,"-5,815828","1,648838","-0,176158","1,622374","-6,358427","1,781216","-0,1867818","1,570569","-8,40692","1,919599","-0,1143075","1,517101",,"-7,576177","1,882903","-0,1425923","1,575884","-5,364028","1,445886","-0,1401099","1,59359","-6,141653","1,651439","-1,63E-01","1,71E+00",,"-6,953519","1,58424","-0,1308848","1,512862","-6,745985","1,67385","-0,1662863","1,602888","-6,64913","1,62833","-0,1203165","1,515714"
"-7,893086","1,768934","-0,183871","1,647581","-7,589965","2,011393","-0,1930335","1,594786","-7,477354","1,862033","-1,51E-01","1,68E+00",,"-6,097827","1,620638","-0,1670766","1,586049","-6,678736","1,729402","-0,1816991","1,533465","-9,580651","1,699886","-0,1070598","1,48358",,"-7,893708","1,838337","-0,1317994","1,543505","-6,096846","1,337634","-0,1252485","1,554722","-6,447188","1,616632","-1,51E-01","1,68E+00",,"-7,867811","1,441382","-0,1263057","1,476884","-7,04114","1,622689","-0,1650134","1,57234","-6,945308","1,576821","-0,1132552","1,47839"
"-8,980683","1,575058","-0,180746","1,610081","-8,604079","1,865028","-0,1847884","1,563352","-7,80617","1,81332","-1,40E-01","1,63E+00",,"-6,898707","1,490918","-0,1607196","1,557896","-7,639663","1,564537","-0,1755998","1,501952","-9,950694","1,630503","-0,10253","1,44553",,"-8,879725","1,676786","-0,1300006","1,512925","-6,348972","1,284053","-0,1252485","1,523856","-7,321252","1,473533","-1,40E-01","1,63E+00",,"-8,164956","1,378524","-0,123689","1,454642","-7,895122","1,465273","-0,1561036","1,543701","-7,859597","1,435171","-0,107707","1,450649"
"-9,340063","1,499399","-0,174496","1,575706","-8,944883","1,809254","-0,177574","1,533979","-8,749993","1,642823","-1,27E-01","1,60E+00",,"-7,175066","1,445798","-0,1534545","1,532468","-7,94584","1,508012","-0,166451","1,475014","-11,07239","1,376098","-0,09981207","1,417445",,"-9,180544","1,604367","-0,1255035","1,487742","-7,076869","1,142491","-0,113245","1,498705","-7,588113","1,423255","-1,27E-01","1,60E+00",,"-9,039248","1,184237","-0,1217266","1,427822","-8,178471","1,406242","-0,1484667","1,51379","-8,162214","1,351468","-0,1026632","1,423917"
"-10,40402","1,277151","-0,168246","1,550706","-9,96491","1,64023","-0,1698442","1,507697","-9,078809","1,58802","-1,17E-01","1,57E+00",,"-7,975946","1,310438","-0,1443731","1,504316","-8,892636","1,319595","-0,166451","1,44401","-11,45399","1,277806","-0,0871286","1,387548",,"-10,15542","1,420533","-0,1165094","1,463458","-7,314755","1,098501","-0,1098154","1,470126","-8,438971","1,264685","-1,17E-01","1,57E+00",,"-9,376393","1,12138","-0,1158391","1,401655","-9,020647","1,23702","-0,1414661","1,486424","-9,031433","1,164747","-0,09408875","1,399203"
"-10,76812","1,196763","-0,161996","1,519456","-10,30109","1,574473","-0,1652064","1,484508","-9,998275","1,411434","-1,05E-01","1,54E+00",,"-8,235386","1,270958","-0,1434649","1,483428","-9,198813","1,258359","-0,1557773","1,422662","-12,56991","0,9944912","-0,08350476","1,358557",,"-10,48409","1,348114","-0,111113","1,432878","-8,023492","0,9332215","-0,1052427","1,437545","-8,717434","1,222143","-1,05E-01","1,54E+00",,"-10,27926","0,9099496","-0,11126","1,370256","-9,307931","1,181925","-0,1401933","1,458422","-9,340488","1,093922","-0,09106247","1,370453"
"-11,81316","0,9414145","-0,161996","1,491331","-11,29269","1,360835","-0,1569613","1,460288","-10,31491","1,344453","-1,02E-01","1,51E+00",,"-9,008065","1,118678","-0,1416486","1,458909","-10,12677","1,04168","-0,1522194","1,390133","-12,92839","0,8961985","-0,07625706","1,33319",,"-11,42554","1,130856","-0,1057165","1,407694","-8,266026","0,8653999","-0,1006699","1,416396","-9,545088","1,02103","-1,02E-01","1,51E+00",,"-10,54211","0,8242348","-0,1047185","1,346706","-10,13437","0,9694128","-0,1344655","1,434874","-10,21615","0,8621302","-0,09055809","1,345738"
"-12,16781","0,8421122","-0,158871","1,460081","-11,63129","1,268124","-0,1569613","1,434522","-11,2222","1,125242","-9,25E-02","1,48E+00",,"-9,295705","1,050998","-0,1361998","1,433481","-10,4141","0,9663128","-0,1410375","1,364211","-14,0443","0,5608468","-0,07263321","1,301482",,"-11,74307","1,047295","-0,1031549","1,385556","-8,965216","0,6954037","-0,09666876","1,390674","-9,82355","0,9591498","-9,25E-02","1,48E+00",,"-11,46212","0,5785188","-0,1019422","1,323995","-10,41378","0,8985756","-0,1281014","1,407509","-10,49301","0,791305","-0,08601868","1,316484"
"-13,21758","0,5583913","-0,155746","1,435081","-12,60274","1,026269","-0,1485976","1,413912","-11,53884","1,052172","-8,67E-02","1,45E+00",,"-10,06838","0,8705181","-0,1325672","1,413501","-11,34206","0,7119498","-0,142054","1,335748","-14,38543","0,4509902","-0,0753511","1,280645",,"-12,66781","0,791042","-0,1012469","1,361389","-9,198227","0,6276275","-0,08695166","1,366095","-10,64734","0,7425676","-8,67E-02","1,45E+00",,"-11,74784","0,5042326","-0,1037924","1,304106","-11,24415","0,6585161","-0,1211008","1,383961","-11,35579","0,5337587","-0,08047051","1,293283"
"-13,57223","0,4590889","-0,155746","1,406956","-12,93731","0,9375886","-0,1424033","1,392414","-12,4583","0,8025157","-7,97E-02","1,42E+00",,"-10,32218","0,8028382","-0,1297358","1,389829","-11,6341","0,6224518","-0,1395127","1,315417","-15,43774","0,09251081","-0,06447956","1,25256",,"-12,9742","0,7019105","-0,09170731","1,33913","-9,878166","0,4148659","-0,08461504","1,344479","-10,91033","0,6690843","-7,97E-02","1,42E+00",,"-12,62213","0,2356594","-0,09731681","1,277279","-11,51963","0,5916143","-0,1194161","1,360634","-11,65197","0,4436175","-0,07441796","1,269577"
"-14,60309","0,1328099","-0,149496","1,378831","-13,91682","0,6594555","-0,1354803","1,3629","-12,76885","0,7172672","-7,97E-02","1,40E+00",,"-11,09486","0,5941583","-0,1232493","1,366046","-12,51966","0,3445367","-0,1323969","1,292545","-15,80778","-0,01734578","-0,06538552","1,229911",,"-13,89894","0,4122331","-0,09679511","1,311783","-10,10165","0,347135","-0,07669363","1,321075","-11,69544","0,4408995","-7,97E-02","1,40E+00",,"-12,87927","0,1385159","-0,09685426","1,252301","-12,34606","0,3082654","-0,121216","1,338134","-12,49543","0,1667552","-0,07139169","1,244863"
